Day	Pexc	Nexc	Cexc	Pwst	Nwst	Cwst
18251	0.49782	10.6035	80.80897	8.43691	96.55714	611.32373
18252	0.50635	10.78515	82.19329	8.58144	98.21124	621.79616
18253	0.5105	10.87341	82.86592	8.65166	99.01495	626.88466
18254	0.51494	10.96817	83.58813	8.72707	99.8779	632.34818
18255	0.51799	11.03293	84.08166	8.77859	100.46762	636.08178
18256	0.52064	11.08951	84.51285	8.82361	100.98284	639.34374
18257	0.52376	11.15584	85.01836	8.87639	101.58686	643.16793
18258	0.52704	11.22582	85.55163	8.93207	102.22405	647.20214
18259	0.52897	11.26684	85.86429	8.96471	102.59765	649.56743
18260	0.53233	11.33852	86.41057	9.02175	103.2504	653.70013
18261	0.53464	11.38765	86.78493	9.06083	103.6977	656.53211
18262	0.53729	11.44401	87.2145	9.10568	104.211	659.7819
18263	0.53907	11.48212	87.5049	9.136	104.55799	661.97878
18264	0.53898	11.48016	87.49	9.13444	104.54018	661.86601
18265	0.53908	11.4822	87.50554	9.13607	104.55875	661.98362
18266	0.54708	11.65262	88.80427	9.27166	106.11058	671.80854
18267	0.54937	11.70142	89.17619	9.31049	106.55498	674.62216
18268	0.5527	11.77229	89.71626	9.36688	107.2003	678.70782
18269	0.55428	11.80608	89.97378	9.39376	107.508	680.65594
18270	0.55512	11.82397	90.11015	9.408	107.67095	681.68758
18271	0.5523	11.76375	89.65124	9.36009	107.1226	678.21589
18272	0.55467	11.81439	90.03713	9.40038	107.5837	681.1352
18273	0.55157	11.74821	89.53275	9.34772	106.98103	677.31956
18274	0.55008	11.71657	89.29168	9.32255	106.69298	675.49585
18275	0.55145	11.74582	89.51454	9.34582	106.95926	677.18176
18276	0.56266	11.98452	91.33366	9.53574	109.1329	690.94349
18277	0.56303	11.99235	91.39334	9.54197	109.2042	691.39496
18278	0.56683	12.07321	92.0096	9.60632	109.94056	696.057
18279	0.57318	12.20863	93.04161	9.71406	111.17369	703.86419
18280	0.58159	12.38764	94.40584	9.8565	112.80379	714.1847
18281	0.57877	12.32754	93.9478	9.80867	112.25648	710.71957
18282	0.58677	12.4981	95.24763	9.94438	113.80963	720.5529
18283	0.59003	12.56752	95.77668	9.99962	114.44178	724.55518
18284	0.59276	12.62567	96.21989	10.04589	114.97136	727.90806
18285	0.59521	12.67771	96.61647	10.0873	115.44523	730.90818
18286	0.59476	12.66821	96.54404	10.07974	115.35868	730.36026
18287	0.59703	12.71652	96.91222	10.11818	115.79862	733.14557
18288	0.60196	12.82151	97.71234	10.20171	116.75467	739.19856
18289	0.60428	12.87097	98.08927	10.24107	117.20505	742.04999
18290	0.60825	12.95564	98.73458	10.30844	117.97612	746.93183
18291	0.6105	13.00337	99.09834	10.34642	118.41077	749.68366
18292	0.61042	13.00168	99.08546	10.34507	118.39538	749.58621
