Day        Pexc        Nexc        Cexc        Pwst        Nwst        Cwst
18364        0.95634        21.82197        120.19822        18.20221        208.3172        1318.90033
18365        0.95238        21.73156        119.7002        18.12679        207.45409        1313.43579
19001        0.95133        21.70761        119.56833        18.10682        207.22553        1311.98875
19002        0.96457        22.00974        121.23249        18.35883        210.10972        1330.24913
19003        0.96287        21.97086        121.0183        18.3264        209.7385        1327.89891
19004        0.95825        21.86541        120.43747        18.23844        208.73185        1321.52554
19005        0.95182        21.71866        119.62919        18.11603        207.33101        1312.65653
19006        0.9612        21.93285        120.80897        18.29469        209.3757        1325.60193
19007        0.94728        21.6152        119.0593        18.02973        206.34333        1306.40337
19008        0.99806        22.77382        125.44115        18.99617        217.40379        1376.42948
19009        0.9726        22.19295        122.24164        18.51165        211.85868        1341.32221
19010        0.93894        21.42478        118.01045        17.8709        204.52556        1294.89463
19011        0.92902        21.19859        116.76457        17.68223        202.3663        1281.22395
19012        0.93174        21.2606        117.10611        17.73395        202.95823        1284.97157
19013        0.94108        21.47381        118.28051        17.9118        204.9936        1297.8579
19014        0.9445        21.55186        118.71039        17.9769        205.73863        1302.57484
19015        0.95184        21.71917        119.63195        18.11645        207.3358        1312.68687
19016        0.93436        21.3204        117.4355        17.78383        203.5291        1288.58585
19017        0.92601        21.12993        116.3864        17.62496        201.71088        1277.07431
19018        0.93843        21.41323        117.9468        17.86126        204.41524        1294.19618
19019        0.94086        21.46866        118.25215        17.9075        204.94445        1297.54672
19020        0.9323        21.27345        117.1769        17.74467        203.08091        1285.74825
19021        0.92878        21.19296        116.73355        17.67753        202.31253        1280.88352
19022        0.93596        21.35686        117.63634        17.81425        203.87718        1290.78962
19023        0.92304        21.06217        116.01312        17.56844        201.06394        1272.97842
19024        0.88323        20.15358        111.00849        16.81056        192.39035        1218.06409
19025        0.88838        20.2712        111.65639        16.90868        193.51325        1225.17337
19026        0.90698        20.69563        113.9942        17.2627        197.56493        1250.82544
19027        0.90358        20.618        113.5666        17.19795        196.82386        1246.13356
19028        0.88298        20.14805        110.97807        16.80595        192.33763        1217.73031
19029        0.87715        20.01502        110.24528        16.69498        191.06763        1209.68965
19030        0.8637        19.70811        108.5548        16.43899        188.13783        1191.14046
19031        0.87068        19.86724        109.43129        16.57172        189.65689        1200.75795
19032        0.85318        19.46798        107.23211        16.23869        185.84547        1176.62703
19033        0.87797        20.03355        110.34738        16.71044        191.24458        1210.80993
19034        0.86038        19.63221        108.13672        16.37567        187.41325        1186.55302
19035        0.84252        19.22485        105.89294        16.03589        183.52452        1161.93265
19036        0.84032        19.17464        105.61637        15.994        183.0452        1158.89792
19037        0.8396        19.15805        105.52502        15.98017        182.88688        1157.8956
19038        0.81833        18.67275        102.85191        15.57537        178.25408        1128.56433
19039        0.838        19.12168        105.32465        15.94983        182.53962        1155.69701
19040        0.84025        19.17303        105.60749        15.99266        183.0298        1158.80045
19041        0.83561        19.06707        105.02386        15.90428        182.01831        1152.39648
