"day","0_faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2"
185,6.30343944307936,1.24400348837244,1.39339187689123,0.274990244798119,10.2624417599608,2.02532497756075,43.9073145354541,8.33303772115511,39.7256655320775,7.5394150810451,91.9962780742847,17.4596980824202
186,6.33065586138325,1.2496115456039,1.39940813777946,0.276229920607178,10.3067519988836,2.03445528828144,45.1492529480599,8.37060365476297,40.8493240958637,7.57340330669031,94.598434748316,17.5384076575986
187,6.66112217053693,1.31509202268072,1.47245858506606,0.290704552382053,10.844774340804,2.14106210008369,44.359846083294,8.80922886006221,40.135098837266,7.97025468291343,92.944439412616,18.4574318972732
188,7.23884477993246,1.42942229226476,1.6001656881956,0.315977559342736,11.7853472908374,2.32719980214333,41.8192083978226,9.57507755584049,37.836426645649,8.6631654076652,87.6211985478187,20.0620672598563
189,7.24608783390567,1.43112498559667,1.60176678433704,0.316353944184527,11.7971394909903,2.32997190637493,43.1949210046637,9.58648315710688,39.0811190042196,8.67348476119194,90.5036440097716,20.0859647101287
190,7.12728927730983,1.40793043036842,1.57550605077375,0.31122672671302,11.6037271041114,2.29220954277525,45.4149251858048,9.43111293069756,41.0896942157281,8.53291169920255,95.1550813416862,19.7604270928901
191,7.82968478777111,1.54697768759111,1.73077242677046,0.34196348883593,12.7472762860554,2.51858823523606,42.134101569608,10.3625299647252,38.1213299915501,9.37562234903704,88.280974717274,21.7119675451384
192,7.45498701504484,1.47322736068137,1.64794449806255,0.325660784992724,12.1372420174765,2.39851752756546,45.9732892009657,9.86850863614315,41.5948807056356,8.92865067079619,96.3249868972614,20.6768752376333
193,8.00218671442701,1.58166614910536,1.76890443161018,0.34963146453908,13.0281215280496,2.57506348485926,44.2068482564044,10.5948928648206,39.9966722319849,9.5858554491234,92.6238725372283,22.1988231453384
194,8.13685069564122,1.60859183284122,1.79867225903648,0.355583457785954,13.2473639395703,2.6189003875029,44.2541863963285,10.7752562965441,40.0395019776306,9.74904141115891,92.723057211355,22.5767274784733
195,8.03532514884366,1.58882659878747,1.77622976974439,0.3512143007846,13.0820732247841,2.58672119942943,46.8332587270734,10.6428575995333,42.372948372114,9.62925211386348,98.1268278091062,22.2993206847365
