FID,Shape *,OBJECTID,farm_id,x,y
611,Point,123,122,21.0116,38.6126
612,Point,123,122,21.0231,38.6126
613,Point,123,122,21.0231,38.6036
614,Point,123,122,21.0116,38.6036
615,Point,124,123,22.9529,39.1143
616,Point,124,123,22.9529,39.1234
617,Point,124,123,22.9644,39.1234
618,Point,124,123,22.9644,39.1143
619,Point,124,123,22.9529,39.1143
620,Point,125,124,22.8901,38.9154
621,Point,125,124,22.8901,38.9244
622,Point,125,124,22.9016,38.9244
623,Point,125,124,22.9016,38.9154
624,Point,125,124,22.8901,38.9154
625,Point,126,125,23.0823,38.6602
626,Point,126,125,23.0823,38.6692
627,Point,126,125,23.0938,38.6692
628,Point,126,125,23.0938,38.6602
629,Point,126,125,23.0823,38.6602
630,Point,127,126,23.1057,38.6752
631,Point,127,126,23.1057,38.6842
632,Point,127,126,23.1172,38.6842
633,Point,127,126,23.1172,38.6752
634,Point,127,126,23.1057,38.6752
635,Point,128,127,23.1056,38.6629
636,Point,128,127,23.1056,38.6719
637,Point,128,127,23.1171,38.6719
638,Point,128,127,23.1171,38.6629
639,Point,128,127,23.1056,38.6629
640,Point,129,128,23.0984,38.6454
641,Point,129,128,23.0984,38.6544
642,Point,129,128,23.1099,38.6544
643,Point,129,128,23.1099,38.6454
644,Point,129,128,23.0984,38.6454
645,Point,130,129,23.3336,38.5975
646,Point,130,129,23.3336,38.6065
647,Point,130,129,23.345,38.6065
648,Point,130,129,23.345,38.5975
649,Point,130,129,23.3336,38.5975
650,Point,131,130,22.8296,38.8862
651,Point,131,130,22.8296,38.8952
652,Point,131,130,22.8411,38.8952
653,Point,131,130,22.8411,38.8862
654,Point,131,130,22.8296,38.8862
655,Point,132,131,26.3863,36.6021
656,Point,132,131,26.3863,36.6111
657,Point,132,131,26.3975,36.6111
658,Point,132,131,26.3975,36.6021
659,Point,132,131,26.3863,36.6021
660,Point,133,132,25.918,38.2892
661,Point,133,132,25.918,38.2982
662,Point,133,132,25.9294,38.2982
663,Point,133,132,25.9294,38.2892
664,Point,133,132,25.918,38.2892
665,Point,134,133,26.1479,38.4576
666,Point,134,133,26.1479,38.4666
667,Point,134,133,26.1594,38.4666
668,Point,134,133,26.1594,38.4576
669,Point,134,133,26.1479,38.4576
670,Point,135,134,26.259,38.4982
671,Point,135,134,26.259,38.5072
672,Point,135,134,26.2705,38.5072
673,Point,135,134,26.2705,38.4982
674,Point,135,134,26.259,38.4982
675,Point,136,135,23.3349,38.6055
676,Point,136,135,23.3349,38.6145
677,Point,136,135,23.3463,38.6145
678,Point,136,135,23.3463,38.6055
679,Point,136,135,23.3349,38.6055
680,Point,137,136,23.325,38.5926
681,Point,137,136,23.325,38.6016
682,Point,137,136,23.3365,38.6016
683,Point,137,136,23.3365,38.5926
684,Point,137,136,23.325,38.5926
685,Point,138,137,23.1051,38.6425
686,Point,138,137,23.1051,38.6515
687,Point,138,137,23.1166,38.6515
688,Point,138,137,23.1166,38.6425
689,Point,138,137,23.1051,38.6425
690,Point,139,138,23.3538,38.5323
691,Point,139,138,23.3538,38.5413
692,Point,139,138,23.3652,38.5413
693,Point,139,138,23.3652,38.5323
694,Point,139,138,23.3538,38.5323
695,Point,140,139,23.1091,38.6362
696,Point,140,139,23.1091,38.6453
697,Point,140,139,23.1206,38.6453
698,Point,140,139,23.1206,38.6362
699,Point,140,139,23.1091,38.6362
700,Point,141,140,24.3829,37.9839
701,Point,141,140,24.3829,37.9929
702,Point,141,140,24.3943,37.9929
703,Point,141,140,24.3943,37.9839
704,Point,141,140,24.3829,37.9839
705,Point,142,141,23.9515,38.3826
706,Point,142,141,23.9515,38.3916
707,Point,142,141,23.9629,38.3916
708,Point,142,141,23.9629,38.3826
709,Point,142,141,23.9515,38.3826
710,Point,143,142,23.9612,38.3847
711,Point,143,142,23.9612,38.3937
712,Point,143,142,23.9726,38.3937
713,Point,143,142,23.9726,38.3847
714,Point,143,142,23.9612,38.3847
715,Point,144,143,23.9612,38.3818
716,Point,144,143,23.9612,38.3909
717,Point,144,143,23.9727,38.3909
718,Point,144,143,23.9727,38.3818
719,Point,144,143,23.9612,38.3818
720,Point,145,144,22.8956,38.8739
721,Point,145,144,22.8956,38.8829
722,Point,145,144,22.9071,38.8829
723,Point,145,144,22.9071,38.8739
724,Point,145,144,22.8956,38.8739
725,Point,146,145,22.9806,38.9028
726,Point,146,145,22.9806,38.9118
727,Point,146,145,22.9922,38.9118
728,Point,146,145,22.9922,38.9028
729,Point,146,145,22.9806,38.9028
730,Point,147,146,22.9936,38.9057
731,Point,147,146,22.9936,38.9147
732,Point,147,146,23.0051,38.9147
733,Point,147,146,23.0051,38.9057
734,Point,147,146,22.9936,38.9057
735,Point,148,147,23.9659,38.3862
736,Point,148,147,23.9659,38.3952
737,Point,148,147,23.9774,38.3952
