"","x"
"429",2902797.12781424
"430",2902796.2569751
"431",2902795.38613623
"432",2902794.51529761
"433",2902793.64445926
"434",2902792.77362116
"435",2902791.90278333
"436",2902791.03194576
"437",2902790.16110845
"438",2902789.2902714
"439",2902788.41943462
"440",2902787.54859809
"441",2902786.67776183
"442",2902785.80692582
"443",2902784.93609008
"444",2902784.0652546
"445",2902783.19441938
"446",2902782.32358442
"447",2902781.45274972
"448",2902780.58191529
"449",2902779.71108111
"450",2902778.8402472
"451",2902777.96941355
"452",2902777.09858016
"453",2902776.22774703
"454",2902775.35691416
"455",2902774.48608155
"456",2902773.61524921
"457",2902772.74441712
"458",2902771.8735853
"459",2902771.00275374
"460",2902770.13192244
"461",2902769.2610914
"462",2902768.39026062
"463",2902767.5194301
"464",2902766.64859984
"465",2902765.77776985
"466",2902764.90694012
"467",2902764.03611064
"468",2902763.16528143
"469",2902762.29445248
"470",2902761.4236238
"471",2902760.55279537
"472",2902759.6819672
"473",2902758.8111393
"474",2902757.94031166
"475",2902757.06948427
"476",2902756.19865715
"477",2902755.32783029
"478",2902754.45700369
"479",2902753.58617736
"480",2902752.71535128
"481",2902751.84452547
"482",2902750.97369991
"483",2902750.10287462
"484",2902749.23204959
"485",2902748.36122482
"486",2902747.49040031
"487",2902746.61957607
"488",2902745.74875208
"489",2902744.87792836
"490",2902744.00710489
"491",2902743.13628169
"492",2902742.26545875
"493",2902741.39463607
"494",2902740.52381365
"495",2902739.65299149
"496",2902738.7821696
"497",2902737.91134796
"498",2902737.04052659
"499",2902736.16970548
"500",2902735.29888463
"501",2902734.42806404
"502",2902733.55724371
"503",2902732.68642364
"504",2902731.81560383
"505",2902730.94478429
"506",2902730.07396501
"507",2902729.20314598
"508",2902728.33232722
"509",2902727.46150872
"510",2902726.59069048
"511",2902725.71987251
"512",2902724.84905479
"513",2902723.97823734
"514",2902723.10742014
"515",2902722.23660321
"516",2902721.36578654
"517",2902720.49497013
"518",2902719.62415398
"519",2902718.7533381
"520",2902717.88252247
"521",2902717.01170711
"522",2902716.140892
"523",2902715.27007716
"524",2902714.39926258
"525",2902713.52844826
"526",2902712.6576342
"527",2902711.7868204
"528",2902710.91600687
"529",2902710.04519359
"530",2902709.17438058
"531",2902708.30356783
"532",2902707.43275534
"533",2902706.56194311
"534",2902705.69113114
"535",2902704.82031943
"536",2902703.94950798
"537",2902703.0786968
"538",2902702.20788588
"539",2902701.33707521
"540",2902700.46626481
"541",2902699.59545467
"542",2902698.72464479
"543",2902697.85383518
"544",2902696.98302582
"545",2902696.11221673
"546",2902695.24140789
"547",2902694.37059932
"548",2902693.49979101
"549",2902692.62898296
"550",2902691.75817517
"551",2902690.88736764
"552",2902690.01656037
"553",2902689.14575337
"554",2902688.27494663
"555",2902687.40414014
"556",2902686.53333392
"557",2902685.66252796
"558",2902684.79172226
"559",2902683.92091683
"560",2902683.05011165
"561",2902682.17930673
"562",2902681.30850208
"563",2902680.43769769
"564",2902679.56689356
"565",2902678.69608968
"566",2902677.82528608
"567",2902676.95448273
"568",2902676.08367964
"569",2902675.21287682
"570",2902674.34207425
"571",2902673.47127195
"572",2902672.60046991
"573",2902671.72966813
"574",2902670.85886661
"575",2902669.98806535
"576",2902669.11726436
"577",2902668.24646362
"578",2902667.37566315
"579",2902666.50486293
"580",2902665.63406298
"581",2902664.76326329
"582",2902663.89246386
"583",2902663.0216647
"584",2902662.15086579
"585",2902661.28006714
"586",2902660.40926876
"587",2902659.53847064
"588",2902658.66767278
"589",2902657.79687518
"590",2902656.92607784
"591",2902656.05528076
"592",2902655.18448394
"593",2902654.31368739
"594",2902653.44289109
"595",2902652.57209506
"596",2902651.70129929
"597",2902650.83050378
"598",2902649.95970853
"599",2902649.08891354
"600",2902648.21811882
"601",2902647.34732435
"602",2902646.47653015
"603",2902645.6057362
"604",2902644.73494252
"605",2902643.8641491
"606",2902642.99335594
"607",2902642.12256305
"608",2902641.25177041
"609",2902640.38097803
"610",2902639.51018592
"611",2902638.63939407
"612",2902637.76860248
"613",2902636.89781114
"614",2902636.02702008
"615",2902635.15622927
"616",2902634.28543872
"617",2902633.41464844
"618",2902632.54385841
"619",2902631.67306865
"620",2902630.80227915
"621",2902629.93148991
"622",2902629.06070093
"623",2902628.18991221
"624",2902627.31912375
