radius,center,image_name
29,"(594, 1010)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
29,"(710, 868)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
29,"(1300, 848)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
29,"(650, 910)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
19,"(1280, 986)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
19,"(1090, 1138)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
19,"(1034, 1160)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
20,"(1068, 822)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
14,"(804, 924)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
26,"(904, 790)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
19,"(960, 1128)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
17,"(770, 998)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
19,"(1096, 902)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
19,"(1250, 1062)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
18,"(982, 1178)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
17,"(876, 952)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
17,"(1014, 1106)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
15,"(1034, 886)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
